gene_name	gene_claim_name	entrez_id	interaction_claim_source	interaction_types	drug_claim_name	drug_claim_primary_name	drug_name	drug_chembl_id	PMIDs
CDK8	CDK8	1024	ChemblInteractions	inhibitor	CHEMBL3544942	Roniciclib	Roniciclib	CHEMBL3544942	
HPSE	HPSE	10855	NCI		TGF	TGF			16320243
CASP9	MCH6	842	ChemblInteractions	inhibitor	CHEMBL2105721	NIVOCASAN	NIVOCASAN	CHEMBL2105721	
	TTDS00172		TTD	inhibitor	DCL000769	DESVENLAFAXINE SR	DESVENLAFAXINE	CHEMBL1118	
MAOA	MAOA	4128	ChemblInteractions	inhibitor	CHEMBL1200895	PHENELZINE SULFATE	PHENELZINE SULFATE	CHEMBL1200895	
HTR2A	6	3356	GuideToPharmacologyInteractions	antagonist	98	SERTINDOLE	SERTINDOLE	CHEMBL12713	
ADRA1B	ADRA1B	147	ChemblInteractions	agonist	CHEMBL2103827	DROXIDOPA	DROXIDOPA	CHEMBL2103827	
KCNJ11	KCNJ11	3767	ChemblInteractions	blocker	CHEMBL1073	GLIPIZIDE	GLIPIZIDE	CHEMBL1073	
NPEPPS	1575	9520	GuideToPharmacologyInteractions	inhibitor	8671	ANTAQ	ANTAQ	CHEMBL169736	
PTGER3	TTDC00037	5733	TTD	antagonist	DCL000105	DG041	CHEMBL565591	CHEMBL565591	
GRIN3B	GRIN3B	116444	ChemblInteractions	antagonist	CHEMBL3707400	Indantadol	Indantadol	CHEMBL3707400	
GRIA1	GLUH1	2890	ChemblInteractions	antagonist	CHEMBL119625	ZONAMPANEL	ZONAMPANEL	CHEMBL119625	
KRAS	KRAS	3845	CKB		3144	3144			28235199
DRD2	DRD2	1813	ChemblInteractions	antagonist	CHEMBL715	OLANZAPINE	OLANZAPINE	CHEMBL715	
HTR6	11	3362	GuideToPharmacologyInteractions	antagonist	9444	INTEPIRDINE	SB-742457	CHEMBL1083390	
SLC2A1	SLC2A1	6513	NCI		TCDD	TCDD			7530807
FGF2	FGF2	2247	NCI		REBAMIPIDE	REBAMIPIDE	REBAMIPIDE	CHEMBL1697771	8774986
PDE4B	Q07343	5142	TdgClinicalTrial		DYPHYLLINE	DYPHYLLINE	DYPHYLLINE	CHEMBL1752	
BACE2	2331	25825	GuideToPharmacologyInteractions	inhibitor	6540	EXAMPLE 98 [WO2011020806]			
C5AR1	32	728	GuideToPharmacologyInteractions	antagonist	5763	JPE1375			
CHRNA2	463	1135	GuideToPharmacologyInteractions	channel blocker	3990	MECAMYLAMINE			
FHIT	FHIT	2272	NCI		TRICHOSTATIN A	TRICHOSTATIN A	TRICHOSTATIN	CHEMBL99	17019711
GABRB2	P47870	2561	TdgClinicalTrial		CLOBAZAM	CLOBAZAM	CLOBAZAM	CHEMBL70418	
NAT2	NAT2	10	NCI		ETHANOL	ETHANOL	ALCOHOL	CHEMBL545	12071337
PIM3	Q86V86	415116	TdgClinicalTrial		VADIMEZAN	VADIMEZAN	VADIMEZAN	CHEMBL71263	
PROKR1	335	10887	GuideToPharmacologyInteractions	agonist	1868	PROKINETICIN-2β			
P2RX7	P2RX7	5027	ChemblInteractions		CHEMBL3545206	GSK1482160	GSK1482160	CHEMBL3545206	
EGFR	1797	1956	GuideToPharmacologyInteractions	inhibitor	5993	JAK3 INHIBITOR II			
SCN4A	SCN4A	6329	ChemblInteractions	blocker	CHEMBL1200654	BENOXINATE HYDROCHLORIDE	BENOXINATE HYDROCHLORIDE	CHEMBL1200654	
PDGFRA	1803	5156	GuideToPharmacologyInteractions	antibody	9172	OLARATUMAB	OLARATUMAB	CHEMBL1743049	
ATM	ATM	472	CIViC		TEMOZOLOMIDE	TEMOZOLOMIDE	TEMOZOLOMIDE	CHEMBL810	23960094
HRH1	TTDS00086	3269	TTD	antagonist	DAP000331	DESLORATADINE	DESLORATADINE	CHEMBL1172	
OPRK1	318	4986	GuideToPharmacologyInteractions	antagonist	7471	ALVIMOPAN	ALVIMOPAN	CHEMBL270190	
AKT1	AKT1	207	CKB		AZD4547	AZD4547	AZD-4547	CHEMBL3184679	26351323
PIK3CA	PIK3CA	5290	CKB		MS417	MS417			26058079
ALK	ALK	238	MyCancerGenome	inhibitor	X-396	X-396	X-396	CHEMBL3544934	
KIT	TTDS00270	3815	TTD	inhibitor	DAP001550	PAZOPANIB HCL	PAZOPANIB HYDROCHLORIDE	CHEMBL1201733	
GABRB1	P18507	2560	TdgClinicalTrial		HALAZEPAM	HALAZEPAM	HALAZEPAM	CHEMBL970	
NTRK1	1817	4914	GuideToPharmacologyInteractions	inhibitor	8123	COMPOUND 1D [PMID: 21493067]			
	322		GuideToPharmacologyInteractions	antagonist	9121	LSN2424100	CHLOROTRIANISENE	CHEMBL1200761	
PLG	P00747	5340	TEND		UROKINASE	UROKINASE	UROKINASE	CHEMBL1201420	
IL2RA	IL2RA	3559	ChemblInteractions	inhibitor	CHEMBL1201605	DACLIZUMAB	DACLIZUMAB	CHEMBL1201605	
HTR1D	3	3352	GuideToPharmacologyInteractions	agonist	57	XANOMELINE	XANOMELINE	CHEMBL21536	
OPRM1	P35372	4988	TEND		LEVOMETHADYL ACETATE	LEVOMETHADYL ACETATE	LEVOMETHADYL ACETATE	CHEMBL1514	
OPRM1	P35372	4988	TdgClinicalTrial		AIKO-150	AIKO-150	CHEMBL140278	CHEMBL140278	
ITPR2	744	3709	GuideToPharmacologyInteractions	activator	4223	INOSITOL 2,4,5-TRISPHOSPHATE	CHEMBL420806	CHEMBL420806	
GNAQ	GNAQ	2776	CKB		Verteporfin	Verteporfin	VERTEPORFIN	CHEMBL2218885	27308390
CD3G	P09693	917	TdgClinicalTrial		OTELIXIZUMAB	OTELIXIZUMAB	OTELIXIZUMAB	CHEMBL1743053	
TGM2	TGM2	7052	NCI		DEFEROXAMINE	DEFEROXAMINE	DEFEROXAMINE	CHEMBL556	9194688
PDE3B	PDE3B	5140	ChemblInteractions	inhibitor	CHEMBL190	THEOPHYLLINE	THEOPHYLLINE	CHEMBL190	
HRH1	P35367	3269	TdgClinicalTrial		PHENIRAMINE	PHENIRAMINE	PHENIRAMINE	CHEMBL1193	
ADRB1	P08588	153	TEND		LEVOBUNOLOL	LEVOBUNOLOL	LEVOBUNOLOL	CHEMBL1201237	
GALR3	245	8484	GuideToPharmacologyInteractions	agonist	6075	J18 (GALANIN ANALOGUE)			
BRAF	BRAF	673	CKB		AMG 232	AMG 232			25567130
ADRA1D	P25100	146	TEND		DEBRISOQUIN	DEBRISOQUIN	DEBRISOQUIN	CHEMBL169901	
GABRA4	GABRA4	2557	ChemblInteractions	positive allosteric modulator	CHEMBL970	HALAZEPAM	HALAZEPAM	CHEMBL970	
MAPK1	1495	5594	GuideToPharmacologyInteractions	inhibitor	9229	RAVOXERTINIB			
MPO	MPO	4353	NCI		D-ALPHA-TOCOPHEROL ACETATE	D-ALPHA-TOCOPHEROL ACETATE	TOCOPHEROL ACETATE	CHEMBL1047	15150308
ARAF	ARAF	369	MyCancerGenome	inhibitor	LGX818	LGX818	ENCORAFENIB	CHEMBL3301612	
GGCX	TTDS00486	2677	TTD	inhibitor	DAP001274	ANISINDIONE	ANISINDIONE	CHEMBL712	
GRP	GRP	2922	NCI		NIFEDIPINE	NIFEDIPINE	NIFEDIPINE	CHEMBL193	10465509
ARAF	ARAF	369	CIViC		TRAMETINIB	TRAMETINIB	TRAMETINIB	CHEMBL2103875	24569458
CCL17	CCL17	6361	NCI		FEXOFENADINE HYDROCHLORIDE	FEXOFENADINE HYDROCHLORIDE	FEXOFENADINE HYDROCHLORIDE	CHEMBL1200618	14976396
MTOR	MTOR	2475	CancerCommons	inhibitor	BEZ235	BEZ235	DACTOLISIB	CHEMBL1879463	
PSMD14	POH1	10213	ChemblInteractions	inhibitor	CHEMBL451887	CARFILZOMIB	CARFILZOMIB	CHEMBL451887	
	MUC-1		TALC	vaccine	STIMUVAX	STIMUVAX			
PPARG	TTDS00338	5468	TTD	agonist	DAP000271	ROSIGLITAZONE	ROSIGLITAZONE	CHEMBL121	
DRD2	DRD2	1813	NCI		CLOZAPINE	CLOZAPINE	CLOZAPINE	CHEMBL42	12887421
CYSLTR2	270	57105	GuideToPharmacologyInteractions	agonist	6194	N-METHYL LTC4	URACIL MUSTARD	CHEMBL1488	
	293		GuideToPharmacologyInteractions	allosteric modulator	6406	COMPOUND 47 [PMID: 21295468]	CHEMBL1681799	CHEMBL1681799	
FCGR3A	FCGR3A	2214	NCI		LIF	LIF			7686393
PIK3R1	GRB1	5295	ChemblInteractions	inhibitor	CHEMBL3545324	RG-7666	RG-7666	CHEMBL3545324	
	331		GuideToPharmacologyInteractions	agonist	1797	[ILE5,TRP23,TYR36]PTHRP-(1-36)-NH2 (HUMAN)	CHEMBL97450	CHEMBL97450	
STAT1	P42224	6772	TdgClinicalTrial		AVT-02 UE	AVT-02 UE			
VDR	VDR	7421	NCI		ANTIOXIDANT	ANTIOXIDANT			16817236
HCRTR1	321	3061	GuideToPharmacologyInteractions	agonist	9305	COMPOUND 26 [PMID: 26267383]	DIOTYROSINE	CHEMBL1236469	
ADRB2	29	154	GuideToPharmacologyInteractions	agonist	9512	SOLABEGRON	SOLABEGRON	CHEMBL208427	
SSTR1	355	6751	GuideToPharmacologyInteractions	agonist	2010	DES-ALA1,2,5-[D-TRP8,IAMP9]SRIF			
PTHLH	PTHLH	5744	NCI		MAGNESIUM SULFATE	MAGNESIUM SULFATE	MAGNESIUM SULFATE	CHEMBL1200456	11384692
IL2	IL2	3558	NCI		PHYTOCHEMICALS	PHYTOCHEMICALS			15905551
EGFR	ERBB	1956	ChemblInteractions	inhibitor	CHEMBL1201827	PANITUMUMAB	PANITUMUMAB	CHEMBL1201827	
PIK3CD	2155	5293	GuideToPharmacologyInteractions	inhibitor	7955	ALPELISIB	ALPELISIB	CHEMBL2396661	
SCN5A	SCN5A	6331	ChemblInteractions	blocker	CHEMBL1201729	DRONEDARONE HYDROCHLORIDE	DRONEDARONE HYDROCHLORIDE	CHEMBL1201729	
	PI3KCB		ClearityFoundationClinicalTrial		N/A	N/A			
SLC1A6	871	6511	GuideToPharmacologyInteractions		4534	[3H]L-ASPARTIC ACID			
GRM3	291	2913	GuideToPharmacologyInteractions	antagonist	1378	LY341495	CHEMBL432038	CHEMBL432038	
	264		GuideToPharmacologyInteractions	antagonist	1229	BURIMAMIDE	BURIMAMIDE	CHEMBL12160	
TNF	TNF	7124	NCI		MIDAZOLAM	MIDAZOLAM	MIDAZOLAM	CHEMBL655	16406030
KCNJ4	432	3761	GuideToPharmacologyInteractions	channel blocker	2390	SPERMIDINE	SPERMIDINE	CHEMBL19612	
SYT2	Q8N9I0	127833	TdgClinicalTrial		BOTULINUM TOXIN TYPE B	BOTULINUM TOXIN TYPE B	BOTULINUM TOXIN TYPE B	CHEMBL1201569	
VEGFA	TTDS00339	7422	TTD	inhibitor	DCL000495	BEVACIZUMAB+ERLOTINIB			
CA2	TTDS00306	760	TTD	inhibitor	DAP000604	CYCLOTHIAZIDE	CYCLOTHIAZIDE	CHEMBL61593	
ADRA1A	P35348	148	TEND		LISDEXAMFETAMINE	LISDEXAMFETAMINE	LISDEXAMFETAMINE	CHEMBL1201222	
PTGS1	P23219	5742	TdgClinicalTrial		MESALAZINE	MESALAZINE	MESALAMINE	CHEMBL704	
IFNAR2	1898	3455	GuideToPharmacologyInteractions	agonist	4965	IFN-α7			
	365		GuideToPharmacologyInteractions	agonist	9436	[3-IODO-TYR6]U-II-(4-11) (HUMAN)			
RET	P07949	5979	TEND		IMATINIB	IMATINIB	IMATINIB	CHEMBL941	
AVPR1A	366	552	GuideToPharmacologyInteractions	antagonist	2222	D(CH2)5[TYR(ME)2,THR4]OVT			
KRAS	KRAS	3845	OncoKB		Selumetinib	Selumetinib	SELUMETINIB	CHEMBL1614701	24746704,23200175,20609353,26728409,25792301,23934108,22805291,15801831,26837474,24908424,25801412,15542782
MT-ND4	MTND4	4538	ChemblInteractions	inhibitor	CHEMBL1703	METFORMIN HYDROCHLORIDE	METFORMIN HYDROCHLORIDE	CHEMBL1703	
BCL2	BCL2	596	NCI		PENTOXIFYLLINE	PENTOXIFYLLINE	PENTOXIFYLLINE	CHEMBL628	11836847
PTGER4	343	5734	GuideToPharmacologyInteractions	antagonist	1952	EP4A	CHEMBL265012	CHEMBL265012	
CDK2	1973	1017	GuideToPharmacologyInteractions	inhibitor	9375	VTX-11E			
	TTDS00462		TTD	binder	DAP001323	POLYMYXIN B SULFATE			
ATP7A	ATP7A	538	NCI		CARBOPLATIN	CARBOPLATIN	CARBOPLATIN	CHEMBL1351	14676106
	437		GuideToPharmacologyInteractions	channel blocker	2408	NIP-142			
GABRA4	P48169	2557	TdgClinicalTrial		GANAXOLONE	GANAXOLONE	GANAXOLONE	CHEMBL1568698	
QRFPR	333	84109	GuideToPharmacologyInteractions	agonist	3665	QRFP43			
PIK3CA	PIK3CA	5290	CIViC		RAPAMYCIN (SIROLIMUS)	RAPAMYCIN (SIROLIMUS)	SIROLIMUS	CHEMBL413	15647370
GRIN2C	458	2905	GuideToPharmacologyInteractions	antagonist	4078	[3H]CGP39653	MESORIDAZINE	CHEMBL1088	
PTGS2	COX2	5743	ChemblInteractions	inhibitor	CHEMBL599	MELOXICAM	MELOXICAM	CHEMBL599	
ERBB2	ERBB2	2064	NCI		EMODIN	EMODIN	EMODIN	CHEMBL289277	9671406
HTR1A	1	3350	GuideToPharmacologyInteractions	antagonist	62	(+)-BUTACLAMOL	CHEMBL1255588	CHEMBL1255588	
HDAC3	HDAC3	8841	TALC	inhibitor	CUDC-101	CUDC-101	CUDC-101	CHEMBL598797	
HRH1	TTDS00086	3269	TTD	antagonist	DAP001414	OXATOMIDE	OXATOMIDE	CHEMBL13828	
TUBB2B	TUBB2B	347733	ChemblInteractions	inhibitor	CHEMBL1742994	BRENTUXIMAB VEDOTIN	BRENTUXIMAB VEDOTIN	CHEMBL1742994	
APEH	2328	327	GuideToPharmacologyInteractions	inhibitor	8563	ARI-3099			
	PDGFR		TALC	inhibitor	LINIFANIB	LINIFANIB	LINIFANIB	CHEMBL223360	
GABRG1	Q8N1C3	2565	TdgClinicalTrial		ALPRAZOLAM	ALPRAZOLAM	ALPRAZOLAM	CHEMBL661	
CA12	2747	771	GuideToPharmacologyInteractions	inhibitor	7046	INDISULAM	INDISULAM	CHEMBL77517	
BTK	1948	695	GuideToPharmacologyInteractions	inhibitor	8145	COMPOUND 38 [PMID: 24915291]			
GABRG3	Q99928	2567	TdgClinicalTrial		OXAZEPAM	OXAZEPAM	OXAZEPAM	CHEMBL568	
BCL2	BCL2	596	NCI		ENDOTHELIN RECEPTOR ANTAGONIST	ENDOTHELIN RECEPTOR ANTAGONIST			16741044
STK11	STK11	6794	DoCM		EVEROLIMUS	EVEROLIMUS	EVEROLIMUS	CHEMBL1908360	21189378
DHFR	P00374	1719	TdgClinicalTrial		10-PROPARGYL-10-DEAZAAMINOPTERIN	10-PROPARGYL-10-DEAZAAMINOPTERIN	PRALATREXATE	CHEMBL1201746	
CDK7	CAK	1022	ChemblInteractions	inhibitor	CHEMBL1944698	TG-02	TG-02	CHEMBL1944698	
CDKN2A	CDKN2A	1029	ClearityFoundationBiomarkers		LY2835219	LY2835219	ABEMACICLIB	CHEMBL3301610	
TRPM7	499	54822	GuideToPharmacologyInteractions	activator	2346	H+	GADOBENATE DIMEGLUMINE	CHEMBL1200571	
CHRM1	P11229	1128	TEND		SUCCINYLCHOLINE	SUCCINYLCHOLINE	SUXAMETHONIUM	CHEMBL703	
DRD2	TTDS00012	1813	TTD	antagonist	DCL000843	ILOPERIDONE	ILOPERIDONE	CHEMBL14376	
CP	CP	1356	NCI		DEXRAZOXANE	DEXRAZOXANE	DEXRAZOXANE	CHEMBL1738	8285144
PALB2	PALB2	79728	CIViC		OLAPARIB	OLAPARIB	OLAPARIB	CHEMBL521686	26510020
RXRA	P19793	6256	TEND		ALITRETINOIN	ALITRETINOIN	ALITRETINOIN	CHEMBL705	
EDNRA	ETA	1909	ChemblInteractions	antagonist	CHEMBL1111	AMBRISENTAN	AMBRISENTAN	CHEMBL1111	
KRAS	KRAS	3845	CKB		BKM120	BKM120	BUPARLISIB	CHEMBL2017974	26715098,22159814,26098748,24576621
OXER1	271	165140	GuideToPharmacologyInteractions	allosteric modulator	6173	GUE1654			
ITGB1	P05556	3688	TdgClinicalTrial		FIRATEGRAST	FIRATEGRAST	FIRATEGRAST	CHEMBL2104967	
ANXA1	P04083	301	TEND		RIMEXOLONE	RIMEXOLONE	RIMEXOLONE	CHEMBL1200617	
APOE	APOE	348	NCI		BUTHIONINE SULFOXIMINE	BUTHIONINE SULFOXIMINE	BUTHIONINE SULFOXIMINE	CHEMBL1609891	12615656
MT-ND2	MTND2	4536	ChemblInteractions	inhibitor	CHEMBL3545135	NV-128	NV-128	CHEMBL3545135	
VCAM1	VCAM1	7412	NCI		TROGLITAZONE	TROGLITAZONE	TROGLITAZONE	CHEMBL408	10626906
TRPM2	494	7226	GuideToPharmacologyInteractions	channel blocker	2447	FLUFENAMIC ACID	FLUFENAMIC ACID	CHEMBL23588	
CCR4	61	1233	GuideToPharmacologyInteractions	agonist	3653	[125I]CCL27 (HUMAN)	HYDROXYPROGESTERONE CAPROATE	CHEMBL1200848	
ADRA1B	ADRA1B	147	ChemblInteractions	agonist	CHEMBL2062265	ERGOTAMINE TARTRATE	ERGOTAMINE TARTRATE	CHEMBL2062265	
ADORA3	21	140	GuideToPharmacologyInteractions	antagonist	5617	LAS38096	CHEMBL375293	CHEMBL375293	
EDNRA	219	1909	GuideToPharmacologyInteractions	antagonist	7352	MACITENTAN	MACITENTAN	CHEMBL2103873	
MTOR	2109	2475	GuideToPharmacologyInteractions	inhibitor	9360	KU-0063794	METFORMIN	CHEMBL1431	
ERBB2	HER2	2064	ChemblInteractions		CHEMBL2108029	ERTUMAXOMAB	ERTUMAXOMAB	CHEMBL2108029	
PIK3CG	PIK3CG	5294	NCI		HYDROGEN PEROXIDE	HYDROGEN PEROXIDE	HYDROGEN PEROXIDE	CHEMBL71595	12627965
ADRA1A	ADRA1C	148	ChemblInteractions	agonist	CHEMBL2062264	PHENYLEPHRINE BITARTRATE	PHENYLEPHRINE BITARTRATE	CHEMBL2062264	
FLT4	FLT4	2324	ClearityFoundationClinicalTrial		CEDIRANIB	CEDIRANIB	CEDIRANIB	CHEMBL491473	
ABL1	ABL1	25	NCI		GENISTEIN	GENISTEIN	GENISTEIN	CHEMBL44	9349317
CDKN1A	CDKN1A	1026	NCI		ANTIMETABOLITE	ANTIMETABOLITE			10997587
	TTDS00261		TTD	activator	DAP001466	CT-102	CHEMBL2409307	CHEMBL2409307	
CRHR2	TTDC00074	1395	TTD	antagonist	DCL000256	UROCORTIN 2	WORTMANNIN	CHEMBL428496	
	TTDS00219		TTD	binder	DAP001398	MECLOCYCLINE	MECLOCYCLINE	CHEMBL1237124	
DKK1	DKK1	22943	CIViC		IRINOTECAN	IRINOTECAN	IRINOTECAN	CHEMBL481	25788273
KDR	FLK1	3791	ChemblInteractions	inhibitor	CHEMBL572881	MOTESANIB	MOTESANIB	CHEMBL572881	
HTR3D	Q70Z44	200909	TdgClinicalTrial		PUMOSETRAG	PUMOSETRAG	PUMOSETRAG	CHEMBL1643880	
OPRM1	319	4988	GuideToPharmacologyInteractions	agonist	5458	METHADONE	METHADONE	CHEMBL651	
IL2RA	P42701	3559	TdgClinicalTrial		AS1409	AS1409	AS-1409	CHEMBL2109413	
HNF4A	HNF4A	3172	NCI		UREA	UREA	UREA	CHEMBL985	8167573
SSTR2	SSTR2	6752	ChemblInteractions	agonist	CHEMBL2103975	VAPREOTIDE	VAPREOTIDE	CHEMBL2103975	
NRIP1	NRIP1	8204	NCI		RETINOIC ACID	RETINOIC ACID	TRETINOIN	CHEMBL38	15632153,14581481
SCN5A	Q14524	6331	TdgClinicalTrial		ETHOTOIN	ETHOTOIN	ETHOTOIN	CHEMBL1095	
HCRTR1	HCRTR1	3061	ChemblInteractions	antagonist	CHEMBL1272307	SB-649868	SB-649868	CHEMBL1272307	
PSEN1	2402	5663	GuideToPharmacologyInteractions	inhibitor	6978	SEMAGACESTAT	SEMAGACESTAT	CHEMBL520733	
HTR1A	1	3350	GuideToPharmacologyInteractions	agonist	26	S-15535	CHEMBL49247	CHEMBL49247	
ADORA1	18	134	GuideToPharmacologyInteractions	antagonist	3283	SCH442416	CHEMBL136689	CHEMBL136689	
GABRD	O14764	2563	TEND		DIAZEPAM	DIAZEPAM	DIAZEPAM	CHEMBL12	
HTR1B	2	3351	GuideToPharmacologyInteractions	agonist	56	TERGURIDE	TERGURIDE	CHEMBL73151	
EPHA2	EPHA2	1969	DoCM		DASATINIB	DASATINIB	DASATINIB	CHEMBL1421	20360610
ADORA2A	19	135	GuideToPharmacologyInteractions	antagonist	393	MRS1042	CHEMBL76273	CHEMBL76273	
KIT	KIT	3815	CKB		G007-LK	G007-LK	CHEMBL2325503	CHEMBL2325503	28611108
PIK3C2G	PIK3C2G	5288	MyCancerGenome	inhibitor	GDC-0980	GDC-0980	APITOLISIB	CHEMBL1922094	
CD6	CD6	923	ChemblInteractions		CHEMBL2109485	ONCOLYSIN CD6	ONCOLYSIN CD6	CHEMBL2109485	
CFTR	CFTR	1080	FDA		Ivacaftor	Ivacaftor	IVACAFTOR	CHEMBL2010601	
LPL	LPL	4023	NCI		INSULIN	INSULIN			15202783,8727949
CHRNA7	TTDS00520	1139	TTD	binder	DCL001014	TC-1698			
ADORA2B	P29274	136	TdgClinicalTrial		THEOPHYLLINE	THEOPHYLLINE	THEOPHYLLINE	CHEMBL190	
ACE	P12821	1636	TdgClinicalTrial		CANDOXATRIL	CANDOXATRIL	CANDOXATRIL	CHEMBL35084	
AKT1	1479	207	GuideToPharmacologyInteractions	allosteric modulator	7945	MK-2206	MK-2206	CHEMBL1079175	
IL1A	P01583	3552	TEND		RILONACEPT	RILONACEPT	RILONACEPT	CHEMBL1201830	
SRC	SRC1	6714	ChemblInteractions	inhibitor	CHEMBL24828	VANDETANIB	VANDETANIB	CHEMBL24828	
DDIT3	DDIT3	1649	NCI		FENRETINIDE	FENRETINIDE	FENRETINIDE	CHEMBL7301	12234979,17273769
	TTDS00210		TTD	binder	DAP000431	ERTAPENEM	ERTAPENEM	CHEMBL1359	
	TTDS00517		TTD	inhibitor	DAP001454	ARTEMISININ			
CDK1	CDK1	983	CancerCommons	inhibitor	BAY1000394	BAY1000394	Roniciclib	CHEMBL3544942	
MMP9	1633	4318	GuideToPharmacologyInteractions	antibody	9510	ANDECALIXIMAB	ANDECALIXIMAB	CHEMBL3833374	
IL17A	CTLA8	3605	ChemblInteractions	inhibitor	CHEMBL1743068	SECUKINUMAB	SECUKINUMAB	CHEMBL1743068	
BDNF	BDNF	627	NCI		ANTIOXIDANT	ANTIOXIDANT			11274788
TUBA1C	TUBA6	84790	ChemblInteractions	inhibitor	CHEMBL378544	VINBLASTINE SULFATE	VINBLASTINE SULFATE	CHEMBL378544	
SCN9A	NENA	6335	ChemblInteractions	blocker	CHEMBL16	PHENYTOIN	PHENYTOIN	CHEMBL16	
EGFR	EGFR	1956	CKB		INC280	INC280	CAPMATINIB	CHEMBL3188267	28783719
TUBB8	TUBB8	347688	ChemblInteractions		CHEMBL2108628	PACLITAXEL POLIGLUMEX	PACLITAXEL POLIGLUMEX	CHEMBL2108628	
BAX	BAX	581	NCI		METHOTREXATE	METHOTREXATE	METHOTREXATE	CHEMBL34259	11237386
KDR	FLK1	3791	ChemblInteractions	inhibitor	CHEMBL3545414	Apatinib			
GUCY1B2	GUCY1B2	2974	ChemblInteractions	activator	CHEMBL6622	ISOSORBIDE DINITRATE	ISOSORBIDE DINITRATE	CHEMBL6622	
GFAP	GFAP	2670	NCI		ISOPROTERENOL	ISOPROTERENOL	ISOPROTERENOL	CHEMBL434	8381971
DRD2	DRD2	1813	ChemblInteractions	antagonist	CHEMBL3544974	ASENAPINE MALEATE	ASENAPINE MALEATE	CHEMBL3544974	
PIK3CA	PIK3CA	5290	CGI		Chemotherapy	Chemotherapy			
HTR1B	P28222	3351	TdgClinicalTrial		VR-147	VR-147			
PDGFRB	1804	5159	GuideToPharmacologyInteractions	inhibitor	7962	MK-2461	MK-2461	CHEMBL1822792	
APOA1	APOA1	335	NCI		PROTEIN SYNTHESIS INHIBITOR	PROTEIN SYNTHESIS INHIBITOR			10488140
EDNRA	P25101	1909	TdgClinicalTrial		SITAXSENTAN	SITAXSENTAN	SITAXENTAN	CHEMBL282724	
EIF2B1	EIF2B1	1967	NCI		WORTMANNIN	WORTMANNIN	WORTMANNIN	CHEMBL428496	10764740
	TTDS00304		TTD	inhibitor	DCL000928	PHENTERMINE+TOPIRAMATE	PHENTERMINE	CHEMBL1574	
CTLA4	TTDC00259	1493	TTD	antibody	DCL000506	CP-675206	TREMELIMUMAB	CHEMBL2108658	
FLT1	FLT1	2321	ClearityFoundationClinicalTrial		VANDETANIB	VANDETANIB	VANDETANIB	CHEMBL24828	
FLT4	FLT4	2324	MyCancerGenomeClinicalTrial	inhibitor	SORAFENIB TOSYLATE	SORAFENIB TOSYLATE	SORAFENIB TOSYLATE	CHEMBL1200485	
GPR17	88	2840	GuideToPharmacologyInteractions	agonist	5519	ASN04450772	CHEMBL1466483	CHEMBL1466483	
MAP2K2	MEK2	5605	ChemblInteractions	inhibitor	CHEMBL2138601	Refametinib	Refametinib	CHEMBL2138601	
EGFR	ERBB	1956	ChemblInteractions	inhibitor	CHEMBL422872	AZD-4769	AZD-4769	CHEMBL422872	
TNFRSF8	TNFRSF8	943	NCI		VITAMIN A	VITAMIN A	RETINOL	CHEMBL986	10066655
PTGS2	P35354	5743	TdgClinicalTrial		IBUPROFEN	IBUPROFEN	IBUPROFEN	CHEMBL521	
LOH19CR1	LOH19CR1	8378	NCI		PREDNISOLONE	PREDNISOLONE	PREDNISOLONE	CHEMBL131	10450869
GABRA3	GABRA3	2556	ChemblInteractions		CHEMBL1341	METHOXYFLURANE	METHOXYFLURANE	CHEMBL1341	
OPRM1	TTDS00126	4988	TTD	agonist	DAP001135	ANILERIDINE	ANILERIDINE	CHEMBL1201347	
	42		GuideToPharmacologyInteractions	antagonist	678	[THI5,8,D-PHE7]BRADYKININ			
BRAF	BRAF	673	CKB		PLX3397	PLX3397	PLX-3397	CHEMBL3545158	25939769
KCNK9	TASK3	51305	ChemblInteractions		CHEMBL1200733	DESFLURANE	DESFLURANE	CHEMBL1200733	
PIK3R6	PIK3R6	146850	MyCancerGenomeClinicalTrial	inhibitor	PKI-587	PKI-587	GEDATOLISIB	CHEMBL592445	
CCKAR	TTDC00082	886	TTD	agonist	DCL000119	GI 181771	CHEMBL1269257	CHEMBL1269257	
SOST	SOST	50964	ChemblInteractions	inhibitor	CHEMBL1742993	BLOSOZUMAB	BLOSOZUMAB	CHEMBL1742993	
GJD4	727	219770	GuideToPharmacologyInteractions	inhibitor	4151	CARBENOXOLONE	CARBENOXOLONE	CHEMBL499915	
MGMT	MGMT	4255	CIViC		CARMUSTINE	CARMUSTINE	CARMUSTINE	CHEMBL513	11070098
AR	P10275	367	TEND		NILUTAMIDE	NILUTAMIDE	NILUTAMIDE	CHEMBL1274	
ZACN	587	353174	GuideToPharmacologyInteractions	antagonist	707	CA2+	cA2	CHEMBL2109588	
SLC6A2	P23975	6530	TEND		MAPROTILINE	MAPROTILINE	MAPROTILINE	CHEMBL21731	
TAC1	TAC1	6863	NCI		PUROMYCIN	PUROMYCIN	PUROMYCIN	CHEMBL469912	14623771
	TTDS00155		TTD	blocker	DCL000400	GSK1014802	RAXATRIGINE	CHEMBL3544913	
SLC6A4	928	6532	GuideToPharmacologyInteractions	inhibitor	4621	[3H]CITALOPRAM	[3H]CITALOPRAM	CHEMBL1628605	
